data_key,scope_order,in_scope,selected_channel_name,selected_channel_name_normalized,selected_channel_name_sort_key,network,feed,location,group_title,category_guess,language_guess,tvg_id,tvg_name,tvg_logo,match_key_tvg_id,match_key_tvg_name,match_key_channel_name,match_key_name_group,source_channel_order,source_duplicate_key,source_stream_host,notes
tvg_id::100,40,Y,HBO Hits (East),HBO Hits (East),hbo hits east,HBO,East,,Movies,Movies,,100,HBO Hits (East),,100,hbo hits east,hbo hits east,hbo hits east::movies,148,tvg_id::100,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::101,41,Y,HBO Hits (West),HBO Hits (West),hbo hits west,HBO,West,,Movies,Movies,,101,HBO Hits (West),,101,hbo hits west,hbo hits west,hbo hits west::movies,149,tvg_id::101,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::104,42,Y,HGTV (East),HGTV (East),hgtv east,HGTV,East,,Entertainment,Entertainment,,104,HGTV (East),,104,hgtv east,hgtv east,hgtv east::entertainment,55,tvg_id::104,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::106,43,Y,Investigation Discovery (East),Investigation Discovery (East),investigation discovery east,Investigation Discovery,East,,Documentaries,Documentary,,106,Investigation Discovery (East),,106,investigation discovery east,investigation discovery east,investigation discovery east::documentaries,160,tvg_id::106,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::6389,44,Y,ION Television,ION Television,ion television,Ion,,,Entertainment,Entertainment,,6389,ION Television,,6389,ion television,ion television,ion television::entertainment,74,tvg_id::6389,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::3762,45,Y,KusiNews KUSI San Diego CA,KusiNews KUSI San Diego CA,kusinews kusi san diego ca,,,"KusiNews KUSI San Diego, CA",Local Channels,Local,,3762,KusiNews KUSI San Diego CA,,3762,kusinews kusi san diego ca,kusinews kusi san diego ca,kusinews kusi san diego ca::local channels,2929,tvg_id::3762,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::108,46,Y,Lifetime Television (East),Lifetime Television (East),lifetime television east,Lifetime,East,,Entertainment,Entertainment,,108,Lifetime Television (East),,108,lifetime television east,lifetime television east,lifetime television east::entertainment,57,tvg_id::108,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::109,47,Y,Logo (East),Logo (East),logo east,,East,,Entertainment,Entertainment,,109,Logo (East),,109,logo east,logo east,logo east::entertainment,58,tvg_id::109,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::20,48,Y,MTV (East),MTV (East),mtv east,MTV,East,,Entertainment,Entertainment,,20,MTV (East),,20,mtv east,mtv east,mtv east::entertainment,18,tvg_id::20,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::21,49,Y,MTV (West),MTV (West),mtv west,MTV,West,,Entertainment,Entertainment,,21,MTV (West),,21,mtv west,mtv west,mtv west::entertainment,19,tvg_id::21,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::22,50,Y,MTV2 (East),MTV2 (East),mtv2 east,MTV2,East,,Entertainment,Entertainment,,22,MTV2 (East),,22,mtv2 east,mtv2 east,mtv2 east::entertainment,20,tvg_id::22,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::23,51,Y,MTV2 (West),MTV2 (West),mtv2 west,MTV2,West,,Entertainment,Entertainment,,23,MTV2 (West),,23,mtv2 west,mtv2 west,mtv2 west::entertainment,21,tvg_id::23,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::3281,52,Y,MY 9 (WWOR) New York,MY 9 (WWOR) New York,my 9 wwor new york,,,"New York, NY",Local Channels,Local,,3281,MY 9 (WWOR) New York,,3281,my 9 wwor new york,my 9 wwor new york,my 9 wwor new york::local channels,2827,tvg_id::3281,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::111,53,Y,National Geographic (East),National Geographic (East),national geographic east,National Geographic,East,,Documentaries,,,111,National Geographic (East),,111,national geographic east,national geographic east,national geographic east::documentaries,161,tvg_id::111,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::114,54,Y,NBC 4 (WNBC) New York,NBC 4 (WNBC) New York,nbc 4 wnbc new york,NBC,,"New York, NY",Local Channels,Local,,114,NBC 4 (WNBC) New York,,114,nbc 4 wnbc new york,nbc 4 wnbc new york,nbc 4 wnbc new york::local channels,2785,tvg_id::114,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::3302,55,Y,NBC KNSD San Diego CA,NBC KNSD San Diego CA,nbc knsd san diego ca,NBC,,"San Diego, CA",Local Channels,Local,,3302,NBC KNSD San Diego CA,,3302,nbc knsd san diego ca,nbc knsd san diego ca,nbc knsd san diego ca::local channels,2848,tvg_id::3302,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::5050,56,Y,NY | Buffalo | ABC 7 WKBW,NY | Buffalo | ABC 7 WKBW,ny buffalo abc 7 wkbw,ABC,,"Buffalo, NY",ABC - LOCAL,Local,,5050,NY | Buffalo | ABC 7 WKBW,,5050,ny buffalo abc 7 wkbw,ny buffalo abc 7 wkbw,ny buffalo abc 7 wkbw::abc local,3802,tvg_id::5050,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::5518,57,Y,NY | Buffalo | CBS 4 WIVB,NY | Buffalo | CBS 4 WIVB,ny buffalo cbs 4 wivb,CBS,,"Buffalo, NY",CBS - LOCAL,Local,,5518,NY | Buffalo | CBS 4 WIVB,,5518,ny buffalo cbs 4 wivb,ny buffalo cbs 4 wivb,ny buffalo cbs 4 wivb::cbs local,4012,tvg_id::5518,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::5568,58,Y,NY | Buffalo | CBS WIVB,NY | Buffalo | CBS WIVB,ny buffalo cbs wivb,CBS,,"Buffalo, NY",CBS - LOCAL,Local,,5568,NY | Buffalo | CBS WIVB,,5568,ny buffalo cbs wivb,ny buffalo cbs wivb,ny buffalo cbs wivb::cbs local,4062,tvg_id::5568,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::5752,59,Y,NY | Buffalo | FOX WUTV,NY | Buffalo | FOX WUTV,ny buffalo fox wutv,FOX,,"Buffalo, NY",FOX - LOCAL,Local,,5752,NY | Buffalo | FOX WUTV,,5752,ny buffalo fox wutv,ny buffalo fox wutv,ny buffalo fox wutv::fox local,4246,tvg_id::5752,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::5045,60,Y,NY | New York | ABC 7 WABC,NY | New York | ABC 7 WABC,ny new york abc 7 wabc,ABC,,"New York, NY",ABC - LOCAL,Local,,5045,NY | New York | ABC 7 WABC,,5045,ny new york abc 7 wabc,ny new york abc 7 wabc,ny new york abc 7 wabc::abc local,3797,tvg_id::5045,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::5519,61,Y,NY | New York | CBS WCBS,NY | New York | CBS WCBS,ny new york cbs wcbs,CBS,,"New York, NY",CBS - LOCAL,Local,,5519,NY | New York | CBS WCBS,,5519,ny new york cbs wcbs,ny new york cbs wcbs,ny new york cbs wcbs::cbs local,4013,tvg_id::5519,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
