lineup_id	country	in_scope	channel_type	type_lookup	channel_id	dn_1	dn_2	standard_cable_network_station	dn_3	call_sign	channel_number	network_base	network_lookup	city	city_lookup	region	region_lookup	brand_scope	scope_lookup	resolution	resolution_lookup	feed_lookup	manual_override_needed	Manual_Display_namne	final_display_name
10272	US	Y	local	local	2172.stations.xmltv.tvmedia.ca	"CBS (KCBS) Los Angeles, CA"	KCBS-TV	Yes	46024	KCBS-TV		CBS	CBS	Los Angeles	Los Angeles	CA	CA		multi_country						"CBS Los Angeles, CA (US)"
10270	CA	Y	local	local	184.stations.xmltv.tvmedia.ca	"CBS (KIRO) Seattle, WA"	KIRO-TV	Yes	147	KIRO-TV	147	CBS	CBS	Seattle	Seattle	WA	WA		multi_country						"CBS Seattle, WA (CA)"
10269	CA	Y	specialty	local	2830.stations.xmltv.tvmedia.ca	"CBS (KIRO) Seattle, WA HD"	KIRO-HD	Yes	133	KIRO-HD	133	CBS	CBS		Seattle		WA		multi_country		HD				"CBS Seattle, WA (CA) (HD)"
10270	CA	Y	specialty	local	2830.stations.xmltv.tvmedia.ca	"CBS (KIRO) Seattle, WA HD"	KIRO-HD	Yes	528	KIRO-HD	528	CBS	CBS		Seattle		WA		multi_country		HD				"CBS Seattle, WA (CA) (HD)"
10271	US	Y	local	local	1830.stations.xmltv.tvmedia.ca	"CBS (WBBM) Chicago, IL"	WBBM-TV	Yes	2	WBBM-TV	2	CBS	CBS	Chicago	Chicago	IL	IL		multi_country						"CBS Chicago, IL (US)"
10271	US	Y	specialty	local	6566.stations.xmltv.tvmedia.ca	"CBS (WBBM) Chicago, IL HD"	WBBM-HD	Yes	1002	WBBM-HD	1002	CBS	CBS		Chicago		IL		multi_country		HD				"CBS Chicago, IL (US) (HD)"
10269	CA	Y	specialty	local	3653.stations.xmltv.tvmedia.ca	"CBS (WBZ) Boston, MA HD"	WBZ-HD	Yes	255	WBZ-HD	255	CBS	CBS		Boston		MA		multi_country		HD				"CBS Boston, MA (CA) (HD)"
10273	US	Y	local	local	1766.stations.xmltv.tvmedia.ca	"CBS (WCBS) New York, NY"	WCBS-TV	Yes	2	WCBS-TV	2	CBS	CBS	New York	New York	NY	NY		multi_country						"CBS New York, NY (US)"
10273	US	Y	specialty	local	4555.stations.xmltv.tvmedia.ca	"CBS (WCBS) New York, NY HD"	WCBS-HD	Yes	502	WCBS-HD	502	CBS	CBS		New York		NY		multi_country		HD				"CBS New York, NY (US) (HD)"
10273	US	N	specialty	specialty	2074.stations.xmltv.tvmedia.ca	Destination America	DEST	No	168	DEST	168	Destination America	Destination						country_unique						#REF!
10273	US	N	specialty	specialty	4451.stations.xmltv.tvmedia.ca	A Wealth of Entertainment	AWE	No	169	AWE	169	A Wealth of Entertainment	A						country_unique						#REF!
10270	CA	Y	local	local	88.stations.xmltv.tvmedia.ca	"CBS (WIVB) Buffalo, NY"	WIVB-TV	Yes	145	WIVB-TV	145	CBS	CBS	Buffalo	Buffalo	NY	NY		multi_country						"CBS Buffalo, NY (CA)"
10270	CA	Y	specialty	local	3583.stations.xmltv.tvmedia.ca	"CBS (WIVB) Buffalo, NY HD"	WIVB-HD	Yes	523	WIVB-HD	523	CBS	CBS		Buffalo		NY		multi_country		HD				"CBS Buffalo, NY (CA) (HD)"
10273	US	Y	specialty	specialty	3115.stations.xmltv.tvmedia.ca	CBS Sports Network USA	CBSSN	No	94	CBSSN	94	CBS Sports Network USA	CBS						country_unique						#REF!
10273	US	Y	specialty	specialty	6985.stations.xmltv.tvmedia.ca	CBS Sports Network USA HD	CBSSN-HD	No	594	CBSSN-HD	594	CBS Sports Network USA HD	CBS						country_unique		HD				#REF!
10273	US	N	specialty	specialty	4216.stations.xmltv.tvmedia.ca	CCTV-4 America	CCTV4	No	1795	CCTV4	1795	CCTV-4 America	CCTV-4						country_unique						#REF!
10269	CA	N	specialty	specialty	13504.stations.xmltv.tvmedia.ca	CCTV9 Documentary (English)	CCTV9-EN	No	735	CCTV9-EN	735	CCTV9 Documentary	CCTV9 Documentary						country_unique						#REF!
10272	US	N	local	local	11181.stations.xmltv.tvmedia.ca	"CEN (KNLA-CD2) Los Angeles, CA"	KNLA-CD2	Yes	46073	46073		CEN	CEN	Los Angeles	Los Angeles	CA	CA		country_unique						"CEN Los Angeles, CA (US)"
10273	US	N	specialty	specialty	6829.stations.xmltv.tvmedia.ca	CentroAmï¿½ï¿½ric	CATV	No	1703	CATV	1703	CentroAmï¿½ï¿½ric	CentroAmï¿½ï¿½						country_unique						#REF!
10272	US	N	local	local	11163.stations.xmltv.tvmedia.ca	"CGN (KSCI-DT4) Los Angeles, CA"	KSCI4	Yes	46130	46130		CGN	CGN	Los Angeles	Los Angeles	CA	CA		country_unique						"CGN Los Angeles, CA (US)"
10273	US	N	specialty	specialty	329.stations.xmltv.tvmedia.ca	Game Show Network - East	GSN	No	184	GSN	184	Game Show Network - East	Game						multi_country						#REF!
10273	US	N	specialty	specialty	10671.stations.xmltv.tvmedia.ca	CGTN (CCTV4)	CCTV News	Yes	277		277	CGTN	CGTN						multi_country						#REF!
10269	CA	N	specialty	specialty	10671.stations.xmltv.tvmedia.ca	CGTN (CCTV4)	CCTV News	Yes	834		834	CGTN	CGTN						multi_country						#REF!
10273	US	N	specialty	specialty	14993.stations.xmltv.tvmedia.ca	Justice Central	JC	No	186	JC	186	Justice Central	Justice						country_unique						#REF!
10272	US	N	local	local	16524.stations.xmltv.tvmedia.ca	"CGTN (KSMV-LD9) Los Angeles, CA"	KSMV-LD9	Yes	31-9	31-9		CGTN	CGTN	Los Angeles	Los Angeles	CA	CA		multi_country						"CGTN Los Angeles, CA (US)"
10271	US	N	local	local	12458.stations.xmltv.tvmedia.ca	"CGTN (WOCK-DT5) Chicago, IL"	WOCK-CD5	Yes	390	WOCK-CD5	390	CGTN	CGTN	Chicago	Chicago	IL	IL		multi_country						"CGTN Chicago, IL (US)"
10273	US	N	specialty	specialty	2267.stations.xmltv.tvmedia.ca	Ovation	OVA	No	188	OVA	188	Ovation	Ovation						country_unique						#REF!
10272	US	N	local	local	9092.stations.xmltv.tvmedia.ca	"Charge! (KABC-TV3) Los Angeles, CA"	KABC-TV3	Yes	46088	KABC-TV3		Charge!	Charge!	Los Angeles	Los Angeles	CA	CA		country_unique						"Charge! Los Angeles, CA (US)"
10272	US	N	local	local	18014.stations.xmltv.tvmedia.ca	"CHARGE! (KDOC-DT6) Los Angeles, CA"	KDOC-TV6	Yes	56-6	56-6		CHARGE!	CHARGE!	Los Angeles	Los Angeles	CA	CA		country_unique						"CHARGE! Los Angeles, CA (US)"
10270	CA	Y	local	local	43.stations.xmltv.tvmedia.ca	"CHCH Hamilton, ON"	CHCH	No	121	CHCH	121	CHCH	CHCH	Hamilton	Hamilton	ON	ON		country_unique						"CHCH Hamilton, ON (CA)"
10270	CA	Y	specialty	local	5870.stations.xmltv.tvmedia.ca	"CHCH Hamilton, ON HD"	CHCH-HD	No	521	CHCH-HD	521	"CHCH Hamilton, ON HD"	CHCH		Hamilton		ON		country_unique		HD				"CHCH Hamilton, ON (CA) (HD)"
10269	CA	Y	specialty	local	9689.stations.xmltv.tvmedia.ca	"CHEK Vancouver Island, BC HD"	CHEK	No	121	CHEK	121	"CHEK Vancouver Island, BC HD"	CHEK		Vancouver Island		BC		country_unique		HD				"CHEK Vancouver Island, BC (CA) (HD)"
10273	US	N	specialty	specialty	6830.stations.xmltv.tvmedia.ca	Cine Estelar	CIES	No	1688	CIES	1688	Cine Estelar	Cine						country_unique						#REF!
10273	US	N	specialty	specialty	4469.stations.xmltv.tvmedia.ca	Cine Mexicano	CM	No	1686	CM	1686	Cine Mexicano	Cine						country_unique						#REF!
10273	US	N	specialty	specialty	3081.stations.xmltv.tvmedia.ca	Cinelatino USA	CINELAT	No	1685	CINELAT	1685	Cinelatino USA	Cinelatino						country_unique						#REF!
10273	US	Y	specialty	specialty	632.stations.xmltv.tvmedia.ca	Cinemax - Eastern Feed	MAX1	No	420	MAX1	420	Cinemax - Eastern Feed	Cinemax						country_unique						#REF!
10271	US	Y	specialty	specialty	632.stations.xmltv.tvmedia.ca	Cinemax - Eastern Feed	MAX1	No	562	MAX1	562	Cinemax - Eastern Feed	Cinemax						country_unique						#REF!
10273	US	Y	specialty	specialty	3567.stations.xmltv.tvmedia.ca	Cinemax - Eastern HD	MAX1HD	No	920	MAX1HD	920	Cinemax - Eastern HD	Cinemax						country_unique		HD				#REF!
10271	US	Y	specialty	specialty	3567.stations.xmltv.tvmedia.ca	Cinemax - Eastern HD	MAX1HD	No	1820	MAX1HD	1820	Cinemax - Eastern HD	Cinemax						country_unique		HD				#REF!
10273	US	Y	specialty	specialty	1215.stations.xmltv.tvmedia.ca	Cinemax - Pacific Feed	MAX1	No	421	MAX1	421	Cinemax - Pacific Feed	Cinemax						country_unique						#REF!
10271	US	Y	specialty	specialty	1215.stations.xmltv.tvmedia.ca	Cinemax - Pacific Feed	MAX1	No	1821	MAX1	1821	Cinemax - Pacific Feed	Cinemax						country_unique						#REF!
10273	US	Y	specialty	specialty	3568.stations.xmltv.tvmedia.ca	Cinemax - Pacific HD	MAX1HD	No	921	MAX1HD	921	Cinemax - Pacific HD	Cinemax						country_unique		HD				#REF!
10273	US	Y	specialty	specialty	1377.stations.xmltv.tvmedia.ca	Cinemax Action - Eastern	MAXACT	No	424	MAXACT	424	Cinemax Action - Eastern	Cinemax						country_unique						#REF!
10271	US	Y	specialty	specialty	1377.stations.xmltv.tvmedia.ca	Cinemax Action - Eastern	MAXACT	No	1824	MAXACT	1824	Cinemax Action - Eastern	Cinemax						country_unique						#REF!
10273	US	Y	specialty	specialty	636.stations.xmltv.tvmedia.ca	Cinemax Classics - Eastern	MAXCL	No	430	MAXCL	430	Cinemax Classics - Eastern	Cinemax						country_unique						#REF!
10271	US	Y	specialty	specialty	636.stations.xmltv.tvmedia.ca	Cinemax Classics - Eastern	MAXCL	No	1830	MAXCL	1830	Cinemax Classics - Eastern	Cinemax						country_unique						#REF!
10270	CA	N	specialty	specialty	2463.stations.xmltv.tvmedia.ca	YTV On Demand	YTVOD	No	211	YTVOD	211	YTV On Demand	YTV						country_unique						#REF!
10273	US	Y	specialty	specialty	634.stations.xmltv.tvmedia.ca	Cinemax Hits Eastern	MAXEHIT	No	422	MAXEHIT	422	Cinemax Hits Eastern	Cinemax						country_unique						#REF!
10273	US	N	specialty	specialty	2113.stations.xmltv.tvmedia.ca	BET Jams	BJAMS	No	213	BJAMS	213	BET Jams	BET						country_unique						#REF!
10271	US	Y	specialty	specialty	634.stations.xmltv.tvmedia.ca	Cinemax Hits Eastern	MAXEHIT	No	564	MAXEHIT	564	Cinemax Hits Eastern	Cinemax						country_unique						#REF!
10273	US	N	specialty	specialty	2112.stations.xmltv.tvmedia.ca	NickMusic	NickM	No	214		214	NickMusic	NickMusic						country_unique						#REF!
10273	US	N	specialty	specialty	639.stations.xmltv.tvmedia.ca	Cinemï¿½ï¿½x - 	@MAX	No	429		429	Cinemï¿½ï¿½x - 	Cinemï¿½						country_unique						#REF!
10273	US	N	specialty	specialty	7092.stations.xmltv.tvmedia.ca	Cinemï¿½ï¿½	@MAX	No	929		929	Cinemï¿½ï¿½	Cinemï¿½						country_unique		HD				#REF!
10273	US	N	specialty	specialty	12618.stations.xmltv.tvmedia.ca	Cinï¿½ï¿	CINEMUS	No	236	CINEMUS	236	Cinï¿½ï¿	Cinï¿½ï¿						country_unique						#REF!
