channel_id,display_name,Telus_Optik_Vancouver_BC_CA,Rogers_Toronto_ON_CA,Xfinity_Chicago_IL_US,Broadcast_LosAngeles_CA_US,Verizon_FIOS_NewYork_NY_US
14582.stations.xmltv.tvmedia.ca,MC - Soundscapes,,,,,Y
14583.stations.xmltv.tvmedia.ca,MC - Smooth Jazz,,,,,Y
14584.stations.xmltv.tvmedia.ca,MC - Jazz,,,,,Y
14585.stations.xmltv.tvmedia.ca,MC - Blues,,,,,Y
14586.stations.xmltv.tvmedia.ca,MC - Singers & Swing,,,,,Y
14587.stations.xmltv.tvmedia.ca,MC - Easy Listening,,,,,Y
14589.stations.xmltv.tvmedia.ca,MC - Classical Masterpieces,,,,,Y
14590.stations.xmltv.tvmedia.ca,MC - Light Classical,,,,,Y
14591.stations.xmltv.tvmedia.ca,MC - Music Urbana,,,,,Y
14592.stations.xmltv.tvmedia.ca,MC - Pop Latino,,,,,Y
14593.stations.xmltv.tvmedia.ca,MC - Tropicales,,,,,Y
14594.stations.xmltv.tvmedia.ca,MC - Mexicana,,,,,Y
14595.stations.xmltv.tvmedia.ca,MC - Romances,,,,,Y
14596.stations.xmltv.tvmedia.ca,MC - Dance/EDM,,,,,Y
14597.stations.xmltv.tvmedia.ca,MC - Rap,,,,,Y
14598.stations.xmltv.tvmedia.ca,MC - Hip-Hop Classics,,,,,Y
14599.stations.xmltv.tvmedia.ca,MC - Throwback Jamz,,,,,Y
14600.stations.xmltv.tvmedia.ca,MC - R&B Classics,,,,,Y
14601.stations.xmltv.tvmedia.ca,MC - R&B Soul,,,,,Y
14622.stations.xmltv.tvmedia.ca,FETV (Family Entertainment Television),,,,,Y
14683.stations.xmltv.tvmedia.ca,QVC,,,,,Y
147.stations.xmltv.tvmedia.ca,"CBC (CBRT) Calgary, AB",,Y,,,
1472.stations.xmltv.tvmedia.ca,HBO - Pacific Feed,,,Y,,Y
14771.stations.xmltv.tvmedia.ca,MBC America (Korean),,,,,Y
1486.stations.xmltv.tvmedia.ca,FUSE TV - Eastern feed,,,,,Y
14962.stations.xmltv.tvmedia.ca,"TBN Inspire (K64FT) Alexandria, LA",,,,,Y
14985.stations.xmltv.tvmedia.ca,HSN  - Home Shopping Network,,,,,Y
14986.stations.xmltv.tvmedia.ca,FanDuel TV,,,,,Y
14993.stations.xmltv.tvmedia.ca,Justice Central,,,,,Y
14994.stations.xmltv.tvmedia.ca,One America News Network HD,,,,,Y
14996.stations.xmltv.tvmedia.ca,Television Dominicana,,,,,Y
14997.stations.xmltv.tvmedia.ca,Ultra Docu,,,,,Y
15000.stations.xmltv.tvmedia.ca,Ultra Clasico,,,,,Y
15001.stations.xmltv.tvmedia.ca,Ultra Cine,,,,,Y
15002.stations.xmltv.tvmedia.ca,Ultra Fiesta,,,,,Y
15004.stations.xmltv.tvmedia.ca,Ultra Film,,,,,Y
15007.stations.xmltv.tvmedia.ca,Ultra Kidz,,,,,Y
15009.stations.xmltv.tvmedia.ca,Ultra Luna,,,,,Y
15010.stations.xmltv.tvmedia.ca,Ultra Macho,,,,,Y
15011.stations.xmltv.tvmedia.ca,Ultra Mex,,,,,Y
15013.stations.xmltv.tvmedia.ca,Univision Telenovelas,,,,,Y
15014.stations.xmltv.tvmedia.ca,MBC Drama (Korean),,,,,Y
15017.stations.xmltv.tvmedia.ca,MC - Pop Rhythmic,,,,,Y
15019.stations.xmltv.tvmedia.ca,MC - Love Songs,,,,,Y
15020.stations.xmltv.tvmedia.ca,MC - Y2K,,,,,Y
15021.stations.xmltv.tvmedia.ca,MC - Teen Beats,,,,,Y
15022.stations.xmltv.tvmedia.ca,MC - Pop Country,,,,,Y
15033.stations.xmltv.tvmedia.ca,"New Tang Dynasty TV (WMBC-DT5) Newton, NJ",,,,,Y
1515.stations.xmltv.tvmedia.ca,MTV 2 - East,,,Y,,Y
1523.stations.xmltv.tvmedia.ca,SHOPHQ,,,,,Y
1527.stations.xmltv.tvmedia.ca,ESPN News,,,,,Y
153.stations.xmltv.tvmedia.ca,CTV Sci-Fi,,Y,,,
15352.stations.xmltv.tvmedia.ca,ESPN College Extra 7,,,,,Y
15403.stations.xmltv.tvmedia.ca,MLB Extra Innings 14,,,,,Y
15433.stations.xmltv.tvmedia.ca,ESPN College Extra 2,,,,,Y
15435.stations.xmltv.tvmedia.ca,ESPN College Extra 3,,,,,Y
15437.stations.xmltv.tvmedia.ca,ESPN College Extra 4,,,,,Y
15439.stations.xmltv.tvmedia.ca,ESPN College Extra 5,,,,,Y
15441.stations.xmltv.tvmedia.ca,ESPN College Extra 6,,,,,Y
15445.stations.xmltv.tvmedia.ca,ESPN College Extra 8,,,,,Y
159.stations.xmltv.tvmedia.ca,CTV Comedy - East,,Y,,,
16.stations.xmltv.tvmedia.ca,USA Network (CAN),,Y,,,
160.stations.xmltv.tvmedia.ca,Bravo Canada,,Y,,,
1606.stations.xmltv.tvmedia.ca,"FOX (WFLD) Chicago, IL",,,Y,,
1608.stations.xmltv.tvmedia.ca,"ABC (WLS) Chicago, IL",,,Y,,
161.stations.xmltv.tvmedia.ca,DTOUR - East,,Y,,,
1612.stations.xmltv.tvmedia.ca,"MNT (WWOR) New York, NY",,,,,Y
1615.stations.xmltv.tvmedia.ca,Showtime Extreme - Eastern,,,Y,,Y
16159.stations.xmltv.tvmedia.ca,Great American Faith & Living HD,,,,,Y
16175.stations.xmltv.tvmedia.ca,Justice Central HD,,,,,Y
162.stations.xmltv.tvmedia.ca,Cartoon Network Canada - East,Y,Y,,,
16215.stations.xmltv.tvmedia.ca,V-me Kids,,,,,Y
1629.stations.xmltv.tvmedia.ca,The Cowboy Channel,,,,,Y
1638.stations.xmltv.tvmedia.ca,"FOX (WNYW) New York, NY",,,,,Y
164.stations.xmltv.tvmedia.ca,History Canada East,,Y,,,
16414.stations.xmltv.tvmedia.ca,Baby First TV HD,,,,,Y
16417.stations.xmltv.tvmedia.ca,Scripps News HD,,,,,Y
16418.stations.xmltv.tvmedia.ca,NBC Universo HD - Eastern,,,,,Y
16423.stations.xmltv.tvmedia.ca,Discovery Life Channel HD,,,Y,,Y
16425.stations.xmltv.tvmedia.ca,SonLife Network HD,,,,,Y
16473.stations.xmltv.tvmedia.ca,"H&I (KSFV-CD2) Los Angeles, CA",,,,Y,
16475.stations.xmltv.tvmedia.ca,"AWE Plus (KFLA-LD6) Los Angeles, CA",,,,Y,
16479.stations.xmltv.tvmedia.ca,"H&I (KCOP-TV4) Los Angeles, CA",,,,Y,
16487.stations.xmltv.tvmedia.ca,"Majestadtv (KWHY-DT5) Los Angeles, CA",,,,Y,
16488.stations.xmltv.tvmedia.ca,"KWHY-TV7 Los Angeles, CA",,,,Y,
1649.stations.xmltv.tvmedia.ca,MSG (Madison Square Gardens),,,,,Y
16505.stations.xmltv.tvmedia.ca,"Tai Shan TV (KSMV-LD10) Los Angeles, CA",,,,Y,
1651.stations.xmltv.tvmedia.ca,HBO Drama (HBO 3) - Eastern,,,Y,,Y
16510.stations.xmltv.tvmedia.ca,"Fil Am TV (KSMV-LD3) Los Angeles, CA",,,,Y,
16519.stations.xmltv.tvmedia.ca,"Creation TV (KSMV-LD5) Los Angeles, CA",,,,Y,
1652.stations.xmltv.tvmedia.ca,ThrillerMax - East,,,,,Y
16520.stations.xmltv.tvmedia.ca,"Hope Channel (KSMV-LD6) Los Angeles, CA",,,,Y,
16524.stations.xmltv.tvmedia.ca,"CGTN (KSMV-LD9) Los Angeles, CA",,,,Y,
16527.stations.xmltv.tvmedia.ca,"UniMás (KMEX-DT2) Los Angeles, CA",,,,Y,
16529.stations.xmltv.tvmedia.ca,"Bounce (KMEX-DT3) Los Angeles, CA",,,,Y,
16530.stations.xmltv.tvmedia.ca,"The Way TV (KTAV-LD3) Altadena, CA",,,,Y,
16531.stations.xmltv.tvmedia.ca,"KTAV-LD7 Altadena, CA",,,,Y,
16532.stations.xmltv.tvmedia.ca,"Laff (KHIZ-LD2) Los Angeles, CA",,,,Y,
16533.stations.xmltv.tvmedia.ca,"ION Mystery (KFTR-DT3) Ontario, CA",,,,Y,
16534.stations.xmltv.tvmedia.ca,"Grit TV (KFTR-DT4) Ontario, CA",,,,Y,
16535.stations.xmltv.tvmedia.ca,"Tele Vida Abundante (KDOC-TV8) Anaheim, CA",,,,Y,
16682.stations.xmltv.tvmedia.ca,Disney Channel Canada - East,,Y,,,
16683.stations.xmltv.tvmedia.ca,Disney Channel Canada HD - East,Y,,,,
167.stations.xmltv.tvmedia.ca,Home Network,,Y,,,
16771.stations.xmltv.tvmedia.ca,Disney Channel Canada On Demand,,Y,,,
16818.stations.xmltv.tvmedia.ca,NewsMax TV,,,,,Y
16819.stations.xmltv.tvmedia.ca,NewsMax TV HD`,,,,,Y
16832.stations.xmltv.tvmedia.ca,Disney Channel Canada HD - West,Y,,,,
169.stations.xmltv.tvmedia.ca,Flavour Network,,Y,,,
17034.stations.xmltv.tvmedia.ca,A&E US HD - Eastern Feed,,,Y,,Y
17242.stations.xmltv.tvmedia.ca,"Start TV (KCBS-TV2) Los Angeles, CA",,,,Y,
17404.stations.xmltv.tvmedia.ca,"Biz-TV (KAZA4) Avalon, CA",,,,Y,
17414.stations.xmltv.tvmedia.ca,"Latin TV (KBEH-DT5) Oxnard, CA",,,,Y,
17415.stations.xmltv.tvmedia.ca,"Rede iTV (KBEH-DT6) Oxnard, CA",,,,Y,
176.stations.xmltv.tvmedia.ca,Turner Classic Movies USA,,,Y,,Y
1766.stations.xmltv.tvmedia.ca,"CBS (WCBS) New York, NY",,,,,Y
1767.stations.xmltv.tvmedia.ca,"NBC (WNBC) New York, NY",,,,,Y
1769.stations.xmltv.tvmedia.ca,"ABC (WABC) New York, NY",,,,,Y
177.stations.xmltv.tvmedia.ca,AMC - Eastern Feed,,,Y,,Y
1771.stations.xmltv.tvmedia.ca,"UNI (WXTV) Teaneck, NJ",,,,,Y
1772.stations.xmltv.tvmedia.ca,"Telemundo (WNJU) Teterboro, NJ",,,,,Y
1774.stations.xmltv.tvmedia.ca,"PBS (WNET) New York, NY",,,,,Y
1775.stations.xmltv.tvmedia.ca,"PBS (WLIW) Long Island, NY",,,,,Y
1778.stations.xmltv.tvmedia.ca,"ION (WPXN) New York, NY",,,,,Y
1797.stations.xmltv.tvmedia.ca,NBC Universo - Eastern feed,,,,,Y
180.stations.xmltv.tvmedia.ca,"CBC (CBUT) Vancouver, BC",,Y,,,
18013.stations.xmltv.tvmedia.ca,"Comet TV (KDOC-TV4) Los Angeles, CA",,,,Y,
18014.stations.xmltv.tvmedia.ca,"CHARGE! (KDOC-DT6) Los Angeles, CA",,,,Y,
18016.stations.xmltv.tvmedia.ca,"KDOC-DT7 Los Angeles, CA",,,,Y,
181.stations.xmltv.tvmedia.ca,"ABC (KOMO) Seattle, WA",,Y,,,
1811.stations.xmltv.tvmedia.ca,"MNT (KCOP) Los Angeles, CA",,,,Y,
18110.stations.xmltv.tvmedia.ca,"Al Karma TV (KHTV-CD5) Los Angeles, CA",,,,Y,
182.stations.xmltv.tvmedia.ca,"NBC (KING) Seattle, WA",,Y,,,
1826.stations.xmltv.tvmedia.ca,KCAL Los Angeles,,,,Y,
1827.stations.xmltv.tvmedia.ca,Fox Deportes,,,,,Y
1830.stations.xmltv.tvmedia.ca,"CBS (WBBM) Chicago, IL",,,Y,,
1831.stations.xmltv.tvmedia.ca,"NBC (WMAQ) Chicago, IL",,,Y,,
18318.stations.xmltv.tvmedia.ca,"Infomercials (KXLA12) Los Angeles, CA",,,,Y,
1832.stations.xmltv.tvmedia.ca,"PBS (WTTW) Chicago, IL",,,Y,,
18325.stations.xmltv.tvmedia.ca,"KWHY-DT3 Los Angeles, CA",,,,Y,
18326.stations.xmltv.tvmedia.ca,"KWHY-TV4 Los Angeles, CA",,,,Y,
18327.stations.xmltv.tvmedia.ca,"KWHY-TV6 Los Angeles, CA",,,,Y,
1834.stations.xmltv.tvmedia.ca,CW26 (WCIU)  Chicago IL,,,Y,,
1837.stations.xmltv.tvmedia.ca,PBS (WYIN) Indiana,,,Y,,
1838.stations.xmltv.tvmedia.ca,"UNI (WGBO) Chicago, IL",,,Y,,
184.stations.xmltv.tvmedia.ca,"CBS (KIRO) Seattle, WA",,Y,,,
18449.stations.xmltv.tvmedia.ca,"Defy (KSKJ-DT5) Los Angeles, CA",,,,Y,
18450.stations.xmltv.tvmedia.ca,"SSTN (KSKJ-DT2) Los Angeles, CA",,,,Y,
18451.stations.xmltv.tvmedia.ca,"Infomercials (KSKJ-CD3) Los Angeles, CA",,,,Y,
18452.stations.xmltv.tvmedia.ca,"Infomercials (KSKJ-CD4) Los Angeles, CA",,,,Y,
18459.stations.xmltv.tvmedia.ca,"Jewelry TV (KSFV) Los Angeles, CA",,,,Y,
18460.stations.xmltv.tvmedia.ca,"Corner Store (KSFV-CD3) Los Angeles, CA",,,,Y,
18461.stations.xmltv.tvmedia.ca,"Al Karma TV (KSFV-CD5) Los Angeles, CA",,,,Y,
1848.stations.xmltv.tvmedia.ca,SundanceTV USA - East,,,Y,,Y
185.stations.xmltv.tvmedia.ca,"CTV Vancouver, BC",,Y,,,
1850.stations.xmltv.tvmedia.ca,MS NOW,Y,Y,,,
1856.stations.xmltv.tvmedia.ca,Bloomberg TV USA,,,Y,,
18590.stations.xmltv.tvmedia.ca,"US Armenia (KNLA-DT5) Los Angeles, CA",,,,Y,
18591.stations.xmltv.tvmedia.ca,"LA 18.8 (KNLA-DT6) Los Angeles, CA",,,,Y,
18599.stations.xmltv.tvmedia.ca,"US Armenia (KNET-DT12) Los Angles, CA",,,,Y,
18601.stations.xmltv.tvmedia.ca,"KNET-CD2 ""CitiCable3"" Los Angeles, CA",,,,Y,
18604.stations.xmltv.tvmedia.ca,"Infomercials (KHIZ-LD4) Los Angeles, CA",,,,Y,
18699.stations.xmltv.tvmedia.ca,"Sino TV (KILM-DT2) Los Angeles, CA",,,,Y,
187.stations.xmltv.tvmedia.ca,"CITY Vancouver, BC",Y,Y,,,
1878.stations.xmltv.tvmedia.ca,EWTN Espanol,,,,,Y
18785.stations.xmltv.tvmedia.ca,"amga TV (KIIO-LD6) Los Angeles, CA",,,,Y,
18803.stations.xmltv.tvmedia.ca,Cars.TV HD,,,,,Y
18804.stations.xmltv.tvmedia.ca,Comedy.TV HD,,,Y,,Y
18805.stations.xmltv.tvmedia.ca,ES.TV HD,,,,,Y
18806.stations.xmltv.tvmedia.ca,Pets.TV HD,,,,,Y
18811.stations.xmltv.tvmedia.ca,EPIC,,,,,Y
1882.stations.xmltv.tvmedia.ca,"Global (CHEX-TV-2) Durham, ON",,Y,,,
189.stations.xmltv.tvmedia.ca,"FOX (KCPQ) Tacoma, WA - Canada",,Y,,,
1894.stations.xmltv.tvmedia.ca,Galavision - Eastern Feed,,,,,Y
190.stations.xmltv.tvmedia.ca,"PBS (KCTS) Seattle, WA",,Y,,,
19066.stations.xmltv.tvmedia.ca,Three Angels Broadcasting Network,,,,,Y
1915.stations.xmltv.tvmedia.ca,WGN Chicago (LOCAL),,,Y,,
19177.stations.xmltv.tvmedia.ca,MeTV (WJLP) New Jersey/New York HD,,,,,Y
1922.stations.xmltv.tvmedia.ca,"ION (WCPX) Chicago, IL",,,Y,,
193.stations.xmltv.tvmedia.ca,Golf Channel USA,,,,,Y
19468.stations.xmltv.tvmedia.ca,"GDTV (KSMV-LD4) Los Angeles, CA",,,,Y,
19470.stations.xmltv.tvmedia.ca,"KSMV - Los Angeles, CA",,,,Y,
19471.stations.xmltv.tvmedia.ca,"TBWTV (KSMV-LD7) Los Angeles, CA",,,,Y,
19472.stations.xmltv.tvmedia.ca,"WCETV (KSMV-LD8) Los Angeles, CA",,,,Y,
1949.stations.xmltv.tvmedia.ca,"FOX (KTTV) Los Angeles, CA",,,,Y,
1952.stations.xmltv.tvmedia.ca,FXX USA - Eastern,,,Y,,Y
1953.stations.xmltv.tvmedia.ca,YES Network,,,,,Y
1954.stations.xmltv.tvmedia.ca,TeenNick - Eastern,,,,,Y
1956.stations.xmltv.tvmedia.ca,Showtime Family Zone - Eastern,,,Y,,Y
1957.stations.xmltv.tvmedia.ca,Starz In Black - Eastern,,,,,Y
1958.stations.xmltv.tvmedia.ca,Starz Encore Suspense - Eastern,,,,,Y
1959.stations.xmltv.tvmedia.ca,Starz Encore Westerns - Eastern,,,Y,,Y
1960.stations.xmltv.tvmedia.ca,Science,,,Y,,Y
1962.stations.xmltv.tvmedia.ca,"UNI (WFTY-DT2) New York, NY",,,,,Y
1963.stations.xmltv.tvmedia.ca,NASA Public Educational Channel,,Y,,,
1966.stations.xmltv.tvmedia.ca,Independent Film Channel US,,,,,Y
1969.stations.xmltv.tvmedia.ca,Nick Jr. - East,,,,,Y
1971.stations.xmltv.tvmedia.ca,FYI USA - Eastern,,,,,Y
198.stations.xmltv.tvmedia.ca,APTN - East,,Y,,,
199.stations.xmltv.tvmedia.ca,"CJON (NTV) St-John, NL",Y,,,,
2.stations.xmltv.tvmedia.ca,A&E US - Eastern Feed,,,Y,,Y
200.stations.xmltv.tvmedia.ca,"CBC (CBNT) St-John's, NL",,Y,,,
20016.stations.xmltv.tvmedia.ca,Hollywood Suite 2010s+ HD,Y,,,,
20017.stations.xmltv.tvmedia.ca,Hollywood Suite 70s+ HD,Y,,,,
20018.stations.xmltv.tvmedia.ca,Hollywood Suite 80s & 90s HD,Y,,,,
20019.stations.xmltv.tvmedia.ca,Hollywood Suite 2000s HD,Y,,,,
20031.stations.xmltv.tvmedia.ca,TeenNick - Eastern HD,,,,,Y
20038.stations.xmltv.tvmedia.ca,Recipe.TV HD,,,Y,,Y
20039.stations.xmltv.tvmedia.ca,MyDestination.TV HD,,,,,Y
20066.stations.xmltv.tvmedia.ca,AXS TV USA,,,,,Y
201.stations.xmltv.tvmedia.ca,CNBC USA,,,Y,,Y
2010.stations.xmltv.tvmedia.ca,Nicktoons - East,,,,,Y
2034.stations.xmltv.tvmedia.ca,Magnolia Network Canada,,Y,,,
2035.stations.xmltv.tvmedia.ca,American Heroes Channel,,Y,,,Y
2073.stations.xmltv.tvmedia.ca,Discovery en Espanol,,,,,Y
2074.stations.xmltv.tvmedia.ca,Destination America,,,,,Y
2077.stations.xmltv.tvmedia.ca,SHOXBET - Eastern,,,Y,,Y
2078.stations.xmltv.tvmedia.ca,Starz Encore Action - Eastern,,,Y,,Y
2079.stations.xmltv.tvmedia.ca,Starz Encore Action - Pacific,,,,,Y
2080.stations.xmltv.tvmedia.ca,Starz Encore Classic - Eastern,,,,,Y
2081.stations.xmltv.tvmedia.ca,Starz Encore Classic - Pacific,,,,,Y
2084.stations.xmltv.tvmedia.ca,Starz Encore Suspense - Pacific,,,,,Y
2085.stations.xmltv.tvmedia.ca,Starz Encore Westerns - Pacific,,,,,Y
2086.stations.xmltv.tvmedia.ca,Olympic Channel,,,,,Y
2088.stations.xmltv.tvmedia.ca,"PBS Kids (WNET-DT2) New York, NY",,,,,Y
2090.stations.xmltv.tvmedia.ca,Investigation Discovery USA - Eastern,,,Y,,Y
2091.stations.xmltv.tvmedia.ca,LOGO - East,,,Y,,Y
2093.stations.xmltv.tvmedia.ca,MTV Classic - East,,,Y,,Y
2095.stations.xmltv.tvmedia.ca,TVE Internacional,,,,,Y
2096.stations.xmltv.tvmedia.ca,CNN Español,,,,,Y
2100.stations.xmltv.tvmedia.ca,Canal Sur,,,,,Y
2102.stations.xmltv.tvmedia.ca,TV Chile,,,,,Y
2103.stations.xmltv.tvmedia.ca,Super Canal Caribe,,,,,Y
2107.stations.xmltv.tvmedia.ca,¡Sorpresa!,,,,,Y
2108.stations.xmltv.tvmedia.ca,ESPN Deportes,,,,,Y
2112.stations.xmltv.tvmedia.ca,NickMusic,,,,,Y
2113.stations.xmltv.tvmedia.ca,BET Jams,,,,,Y
2114.stations.xmltv.tvmedia.ca,Fox Sports 2,,,,,Y
2115.stations.xmltv.tvmedia.ca,Silver Screen Classics,Y,Y,,,
2120.stations.xmltv.tvmedia.ca,Starz Edge - Eastern,,,,,Y
2128.stations.xmltv.tvmedia.ca,Starz Encore Family - Eastern,,,,,Y
2172.stations.xmltv.tvmedia.ca,"CBS (KCBS) Los Angeles, CA",,,,Y,
22.stations.xmltv.tvmedia.ca,"PBS (WTVS) Detroit, MI",,Y,,,
2205.stations.xmltv.tvmedia.ca,HBO 2 - Pacific Feed,,,,,Y
2267.stations.xmltv.tvmedia.ca,Ovation,,,,,Y
2268.stations.xmltv.tvmedia.ca,Boomerang,,,,,Y
2269.stations.xmltv.tvmedia.ca,The Tennis Channel,,,,,Y
2270.stations.xmltv.tvmedia.ca,OuterMax - Eastern,,,,,Y
2271.stations.xmltv.tvmedia.ca,Showtime Showcase - Eastern,,,Y,,Y
2272.stations.xmltv.tvmedia.ca,Showtime Next - Eastern,,,Y,,Y
2273.stations.xmltv.tvmedia.ca,Showtime Women - Eastern,,,Y,,Y
2287.stations.xmltv.tvmedia.ca,TV One,,,,,Y
2288.stations.xmltv.tvmedia.ca,CMT Music,,,Y,,Y
23.stations.xmltv.tvmedia.ca,TV5 International - East,,,,,Y
230.stations.xmltv.tvmedia.ca,"CITY Winnipeg, MB",,Y,,,
2310.stations.xmltv.tvmedia.ca,"KCET Los Angeles, CA",,,,Y,
2340.stations.xmltv.tvmedia.ca,INDIEplex - Eastern,,,,,Y
2342.stations.xmltv.tvmedia.ca,RETROplex - Eastern,,,,,Y
2425.stations.xmltv.tvmedia.ca,The Israeli Network,,,,,Y
2463.stations.xmltv.tvmedia.ca,YTV On Demand,,Y,,,
2466.stations.xmltv.tvmedia.ca,Makeful,,Y,,,
2469.stations.xmltv.tvmedia.ca,Salt & Light,,Y,,,
2561.stations.xmltv.tvmedia.ca,"WMBC-Newton, NJ",,,,,Y
257.stations.xmltv.tvmedia.ca,"CITY Calgary, AB",,Y,,,
2579.stations.xmltv.tvmedia.ca,HBO Latino (HBO 7) - Pacific,,,,,Y
258.stations.xmltv.tvmedia.ca,"CTV (CFCN) Calgary, AB",,Y,,,
2580.stations.xmltv.tvmedia.ca,HBO Signature (HBO 3) - Pacific,,,,,Y
2581.stations.xmltv.tvmedia.ca,MoreMax - Pacific,,,,,Y
2582.stations.xmltv.tvmedia.ca,ActionMax - Pacific,,,,,Y
2583.stations.xmltv.tvmedia.ca,SHOXBET - Pacific,,,,,Y
2584.stations.xmltv.tvmedia.ca,Showtime Extreme - Pacific,,,,,Y
2585.stations.xmltv.tvmedia.ca,Showtime Showcase - Pacific,,,,,Y
2587.stations.xmltv.tvmedia.ca,"ION (KPXN) Los Angeles, CA",,,,Y,
2588.stations.xmltv.tvmedia.ca,"NBC (KNBC) Los Angeles, CA",,,,Y,
2589.stations.xmltv.tvmedia.ca,"ABC (KABC) Los Angeles, CA",,,,Y,
2590.stations.xmltv.tvmedia.ca,"Bounce (KILM) Los Angeles, CA",,,,Y,
2591.stations.xmltv.tvmedia.ca,"Azteca (KJLA) Los Angeles, CA",,,,Y,
2593.stations.xmltv.tvmedia.ca,HBO Comedy - Pacific,,,,,Y
2594.stations.xmltv.tvmedia.ca,HBO Zone - Pacific,,,,,Y
2595.stations.xmltv.tvmedia.ca,ThrillerMax - Pacific,,,,,Y
2596.stations.xmltv.tvmedia.ca,Showtime 2 - Pacific,,,,,Y
2597.stations.xmltv.tvmedia.ca,Showtime Next - Pacific,,,,,Y
2598.stations.xmltv.tvmedia.ca,Showtime Women - Pacific,,,,,Y
2599.stations.xmltv.tvmedia.ca,Showtime Family Zone - Pacific,,,,,Y
2602.stations.xmltv.tvmedia.ca,"UNI (KMEX) Los Angeles, CA",,,,Y,
2603.stations.xmltv.tvmedia.ca,"Ethnic (KXLA) Los Angeles, CA",,,,Y,
2606.stations.xmltv.tvmedia.ca,"ShopHQ (KSCI) Los Angeles, CA",,,,Y,
2610.stations.xmltv.tvmedia.ca,"PBS (KVCR) San Bernardino, CA",,,,Y,
2611.stations.xmltv.tvmedia.ca,"Telemundo (KVEA) Los Angeles, CA",,,,Y,
2629.stations.xmltv.tvmedia.ca,HBO HD - Pacific Feed,,,,,Y
2630.stations.xmltv.tvmedia.ca,"PBS (KLCS) Los Angeles, CA",,,,Y,
2631.stations.xmltv.tvmedia.ca,"KDOC - Los Angeles, CA",,,,Y,
2632.stations.xmltv.tvmedia.ca,"PBS SoCal1 (KOCE) Huntington Beach, CA",,,,Y,
2633.stations.xmltv.tvmedia.ca,"TBN (KTBN) Los Angeles, CA",,,,Y,
2664.stations.xmltv.tvmedia.ca,CNBC World,,,,,Y
2678.stations.xmltv.tvmedia.ca,Starz Edge - Pacific,,,,,Y
2680.stations.xmltv.tvmedia.ca,Starz Cinema - Eastern,,,,,Y
2701.stations.xmltv.tvmedia.ca,MTV U,,,,,Y
2707.stations.xmltv.tvmedia.ca,Lifetime Real Women East,,,,,Y
2729.stations.xmltv.tvmedia.ca,OUTtv,,Y,,,
2746.stations.xmltv.tvmedia.ca,Crave Movies & HBO on Demand,,Y,,,
2759.stations.xmltv.tvmedia.ca,MLB Extra Innings 1,,,,,Y
2760.stations.xmltv.tvmedia.ca,MLB Extra Innings 2,,,,,Y
2761.stations.xmltv.tvmedia.ca,MLB Extra Innings 3,,,,,Y
2762.stations.xmltv.tvmedia.ca,MLB Extra Innings 4,,,,,Y
2763.stations.xmltv.tvmedia.ca,MLB Extra Innings 5,,,,,Y
2764.stations.xmltv.tvmedia.ca,MLB Extra Innings 6,,,,,Y
2765.stations.xmltv.tvmedia.ca,MLB Extra Innings 7,,,,,Y
2766.stations.xmltv.tvmedia.ca,MLB Extra Innings 8,,,,,Y
2767.stations.xmltv.tvmedia.ca,MLB Extra Innings 9,,,,,Y
2768.stations.xmltv.tvmedia.ca,MLB Extra Innings 10,,,,,Y
2813.stations.xmltv.tvmedia.ca,"CITY Edmonton, AB HD",Y,,,,
2814.stations.xmltv.tvmedia.ca,"CTV (CFTO) Toronto, ON HD",Y,Y,,,
2820.stations.xmltv.tvmedia.ca,Crave1 - East HD,Y,Y,,,
2825.stations.xmltv.tvmedia.ca,"CITY Toronto, ON HD",Y,Y,,,
2826.stations.xmltv.tvmedia.ca,"CBC (CBLT) Toronto, ON HD",Y,Y,,,
2828.stations.xmltv.tvmedia.ca,TV Polonia,,,,,Y
2829.stations.xmltv.tvmedia.ca,"ABC (KOMO) Seattle, WA HD",Y,Y,,,
2830.stations.xmltv.tvmedia.ca,"CBS (KIRO) Seattle, WA HD",Y,Y,,,
2831.stations.xmltv.tvmedia.ca,"NBC (KING) Seattle, WA HD",Y,Y,,,
2832.stations.xmltv.tvmedia.ca,"FOX (KCPQ) Tacoma, WA HD - Canada",Y,Y,,,
2847.stations.xmltv.tvmedia.ca,Turner Classic Movies Canada,,Y,,,
2937.stations.xmltv.tvmedia.ca,VGNTV (Saigon Broadcasting Television Network),,,,,Y
294.stations.xmltv.tvmedia.ca,BNN Bloomberg,,Y,,,
295.stations.xmltv.tvmedia.ca,E! Canada,,Y,,,
296.stations.xmltv.tvmedia.ca,Oprah Winfrey Network Canada,,Y,,,
3000.stations.xmltv.tvmedia.ca,Jewelry Television,,,,,Y
3008.stations.xmltv.tvmedia.ca,CNN International North America,Y,Y,,,Y
3034.stations.xmltv.tvmedia.ca,Paramount+ with Showtime - Eastern,,,Y,,Y
3036.stations.xmltv.tvmedia.ca,ESPN HD,,,,,Y
3037.stations.xmltv.tvmedia.ca,TNT HD - East Feed,,,Y,,Y
306.stations.xmltv.tvmedia.ca,MAX,Y,Y,,,
3081.stations.xmltv.tvmedia.ca,Cinelatino USA,,,,,Y
309.stations.xmltv.tvmedia.ca,CTV Life,,Y,,,
30951.stations.xmltv.tvmedia.ca,"NBC (WBTS-CD) Nashua, NH",Y,,,,
