channel_id,display_name,Telus_Optik_Vancouver_BC_CA,Rogers_Toronto_ON_CA,Xfinity_Chicago_IL_US,Broadcast_LosAngeles_CA_US,Verizon_FIOS_NewYork_NY_US
1159.stations.xmltv.tvmedia.ca,Oprah Winfrey Network USA Eastern,,,,,Y
116.stations.xmltv.tvmedia.ca,CTV2 Atlantic Region,,Y,,,
11615.stations.xmltv.tvmedia.ca,MGM+ Hits HD - East,,,Y,,Y
11616.stations.xmltv.tvmedia.ca,MGM+ Marquee HD,,,Y,,
11666.stations.xmltv.tvmedia.ca,"Busted (KPXN-TV6) Los Angeles, CA",,,,Y,
1171.stations.xmltv.tvmedia.ca,"CITY Montreal, QC",,Y,,,
11785.stations.xmltv.tvmedia.ca,"Shop LC (KFLA-LD5) Los Angeles, CA",,,,Y,
1188.stations.xmltv.tvmedia.ca,CTV Nature Canada,,Y,,,
11889.stations.xmltv.tvmedia.ca,"ARTN (KIIO-LD2) Los Angeles, CA",,,,Y,
1194.stations.xmltv.tvmedia.ca,Starz Kids & Family - Eastern,,,,,Y
1198.stations.xmltv.tvmedia.ca,Nickelodeon USA - Pacific Feed,,,,,Y
120.stations.xmltv.tvmedia.ca,CMT Canada,,Y,,,
12015.stations.xmltv.tvmedia.ca,"Bounce (WCPX-TV2) Chicago, IL",,,Y,,
1204.stations.xmltv.tvmedia.ca,TLC Canada,,Y,,,
121.stations.xmltv.tvmedia.ca,"CBC (CBHT) Halifax, NS",,Y,,,
1215.stations.xmltv.tvmedia.ca,Cinemax - Pacific Feed,,,Y,,Y
1216.stations.xmltv.tvmedia.ca,HBO Family - Pacific Feed,,,,,Y
1217.stations.xmltv.tvmedia.ca,Starz - Pacific,,,,,Y
1218.stations.xmltv.tvmedia.ca,Starz Encore - Pacific,,,,,Y
1222.stations.xmltv.tvmedia.ca,TMC (US) - Pacific Feed,,,,,Y
12267.stations.xmltv.tvmedia.ca,"Game Show Central (KPXN-TV5) Los Angeles, CA",,,,Y,
12458.stations.xmltv.tvmedia.ca,"CGTN (WOCK-DT5) Chicago, IL",,,Y,,
1252.stations.xmltv.tvmedia.ca,TV Land - Eastern,,,Y,,Y
