"type","last_write","size_bytes","src_path","dst_path"
"epg","22/11/25 5:48:48 PM","1458104","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\AJPs-custom-epg-master\custom\output\archived\consolidated_channels_only.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\A724C44F02__consolidated_channels_only.xml"
"epg","11/08/25 2:55:37 AM","1079131","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_epgshare_rakuten_en1.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\FB073BACFC__epg_epgshare_rakuten_en1.xml.gz"
"epg","11/08/25 2:55:58 AM","1059308","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_openepg_uk4.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\4E0F54E40E__epg_openepg_uk4.xml.gz"
"epg","22/11/25 11:55:20 AM","1019053","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\AJPs-custom-epg-master\sites\tvprofil.com\tvprofil.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\D01B7117E7__tvprofil.com.channels.xml"
"epg","26/09/25 10:40:03 AM","1017864","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg\sites\tvprofil.com\tvprofil.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\EFFFFD9E06__tvprofil.com.channels.xml"
"epg","11/08/25 2:55:44 AM","906309","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_epgpw_au.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\8A54E03C82__epg_epgpw_au.xml.gz"
"epg","11/08/25 2:55:57 AM","855211","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_openepg_uk3.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\FD65066DB2__epg_openepg_uk3.xml.gz"
"epg","11/08/25 2:55:50 AM","829488","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_openepg_ca3.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\175B0DCE55__epg_openepg_ca3.xml.gz"
"epg","11/08/25 2:55:49 AM","787984","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_openepg_ca2.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\F57D948354__epg_openepg_ca2.xml.gz"
"epg","12/11/24 10:59:07 AM","658826","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__CEF6D209\sites\tvprofil.com\tvprofil.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\41E842131A__tvprofil.com.channels.xml"
"epg","12/11/24 10:59:07 AM","658826","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__BE5F3E8D\sites\tvprofil.com\tvprofil.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\41E842131A__tvprofil.com.channels.xml"
"epg","12/11/24 10:59:07 AM","658826","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__C88298A5\epg\sites\tvprofil.com\tvprofil.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\41E842131A__tvprofil.com.channels.xml"
"epg","12/11/24 10:59:07 AM","658826","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__69B40A25\epg\sites\tvprofil.com\tvprofil.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\41E842131A__tvprofil.com.channels.xml"
