channel_id,display_name
4724.stations.xmltv.tvmedia.ca,CNN HD
475.stations.xmltv.tvmedia.ca,National Geographic Canada
478.stations.xmltv.tvmedia.ca,MTV 2 Canada
4833.stations.xmltv.tvmedia.ca,Super Channel Fuse
4834.stations.xmltv.tvmedia.ca,Super Channel Heart & Home
4835.stations.xmltv.tvmedia.ca,Super Channel Vault
4836.stations.xmltv.tvmedia.ca,Super Channel Quest
4838.stations.xmltv.tvmedia.ca,Super Channel Fuse HD
4839.stations.xmltv.tvmedia.ca,Super Channel Heart & Home	 HD
49.stations.xmltv.tvmedia.ca,"CBC (CBOT) Ottawa, ON"
50.stations.xmltv.tvmedia.ca,"CTV Montreal (CFCF), QC"
537.stations.xmltv.tvmedia.ca,"CTV (CKCK) Regina, SK"
55.stations.xmltv.tvmedia.ca,STARZ1 - East
5598.stations.xmltv.tvmedia.ca,Super Channel on Demand
5629.stations.xmltv.tvmedia.ca,Family Channel on Demand
5682.stations.xmltv.tvmedia.ca,"KTLA Los Angeles, CA HD"
58.stations.xmltv.tvmedia.ca,WSBK (TV-38) Boston
5870.stations.xmltv.tvmedia.ca,"CHCH Hamilton, ON HD"
59.stations.xmltv.tvmedia.ca,CTV Drama
5997.stations.xmltv.tvmedia.ca,APTN HD
60.stations.xmltv.tvmedia.ca,Slice
607.stations.xmltv.tvmedia.ca,Adult Swim - East
613.stations.xmltv.tvmedia.ca,OMNI.2
619.stations.xmltv.tvmedia.ca,EWTN Canada
62.stations.xmltv.tvmedia.ca,Showcase Canada
6257.stations.xmltv.tvmedia.ca,"CBC (CBUT) Vancouver, BC HD"
64.stations.xmltv.tvmedia.ca,W (WTN) - East
6421.stations.xmltv.tvmedia.ca,CBC News Network HD
6437.stations.xmltv.tvmedia.ca,Global (CKMI) Quebec HD
6454.stations.xmltv.tvmedia.ca,"CTV (CFCN) Calgary, AB HD"
6484.stations.xmltv.tvmedia.ca,OMNI.1 HD
6603.stations.xmltv.tvmedia.ca,"CITY Montreal, QC HD"
6768.stations.xmltv.tvmedia.ca,"ICI (CBOFT) Ottawa, ON HD"
6769.stations.xmltv.tvmedia.ca,"ICI (CBUFT) Vancouver, BC HD"
6779.stations.xmltv.tvmedia.ca,TLC Canada HD
6791.stations.xmltv.tvmedia.ca,Cottage Life HD
6797.stations.xmltv.tvmedia.ca,CTV Drama HD
6805.stations.xmltv.tvmedia.ca,"CBC (CBHT) Halifax, NS HD"
6808.stations.xmltv.tvmedia.ca,"CBC (CBOT) Ottawa, ON HD"
6809.stations.xmltv.tvmedia.ca,"CBC (CBRT) Calgary, AB HD"
6810.stations.xmltv.tvmedia.ca,"CBC (CBWT) Winnipeg, MB HD"
6811.stations.xmltv.tvmedia.ca,"CBC (CBXT) Edmonton, AB HD"
6812.stations.xmltv.tvmedia.ca,CTV (CJCH) Halifax HD
6814.stations.xmltv.tvmedia.ca,CTV (CKCW) Moncton HD
6816.stations.xmltv.tvmedia.ca,"ICI (CBAFT) Moncton, NB HD"
6822.stations.xmltv.tvmedia.ca,History Canada HD East
69.stations.xmltv.tvmedia.ca,"CTV (CKCO) Kitchener, ON"
6994.stations.xmltv.tvmedia.ca,HLN HD
7137.stations.xmltv.tvmedia.ca,Crave3 - East HD
7139.stations.xmltv.tvmedia.ca,Crave2 - East HD
7167.stations.xmltv.tvmedia.ca,"MNT (WNYO) Buffalo, NY HD"
7174.stations.xmltv.tvmedia.ca,"CTV Ottawa (CJOH), ON HD"
7176.stations.xmltv.tvmedia.ca,"CTV Montreal (CFCF), QC HD"
72.stations.xmltv.tvmedia.ca,Crave1 - East
73.stations.xmltv.tvmedia.ca,Much Music
7336.stations.xmltv.tvmedia.ca,Adult Swim - East HD
74.stations.xmltv.tvmedia.ca,CBC News Network
7647.stations.xmltv.tvmedia.ca,Music On Demand HD
7807.stations.xmltv.tvmedia.ca,MovieTime HD
7950.stations.xmltv.tvmedia.ca,"CTV (CKY) Winnipeg, MB HD"
8368.stations.xmltv.tvmedia.ca,AMC - Canada HD
8379.stations.xmltv.tvmedia.ca,CTV2 Vancouver Island. BC HD
8383.stations.xmltv.tvmedia.ca,CTV2 Atlantic Region HD
8389.stations.xmltv.tvmedia.ca,Flavour Network HD
8399.stations.xmltv.tvmedia.ca,TVO (TV Ontario) HD
84.stations.xmltv.tvmedia.ca,HBO1
8430.stations.xmltv.tvmedia.ca,MS NOW HD
8451.stations.xmltv.tvmedia.ca,USA Network (CAN) HD
