"source_root","target_root","mode","full_path","relative_path","target_path","target_exists_now","extension","size_bytes","last_write_time"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\36E17F172A__ci.m3u","36E17F172A__ci.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\36E17F172A__ci.m3u","False",".m3u","3614","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\39076BBA16__ir.m3u","39076BBA16__ir.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\39076BBA16__ir.m3u","False",".m3u","3895","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\390C6BDDBD__us_cbsn.m3u","390C6BDDBD__us_cbsn.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\390C6BDDBD__us_cbsn.m3u","False",".m3u","2755","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\3DD56BB48E__sa.m3u","3DD56BB48E__sa.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\3DD56BB48E__sa.m3u","False",".m3u","5526","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\3E1DFF8FBC__iq.m3u","3E1DFF8FBC__iq.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\3E1DFF8FBC__iq.m3u","False",".m3u","8910","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\41B228B32C__ru.m3u","41B228B32C__ru.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\41B228B32C__ru.m3u","False",".m3u","14783","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\4723A8E702__ch_pluto.m3u","4723A8E702__ch_pluto.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\4723A8E702__ch_pluto.m3u","False",".m3u","97511","2024-11-20 15:31:28"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\476A33DC2E__fr_rakuten.m3u","476A33DC2E__fr_rakuten.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\476A33DC2E__fr_rakuten.m3u","False",".m3u","9140","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\4A2BDBEE05__af.m3u","4A2BDBEE05__af.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\4A2BDBEE05__af.m3u","False",".m3u","2679","2024-11-20 15:31:28"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\4A92A20EFF__uk.m3u","4A92A20EFF__uk.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\4A92A20EFF__uk.m3u","False",".m3u","12593","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\4D85371CA8__playlist_src_us_stirr.m3u","4D85371CA8__playlist_src_us_stirr.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\4D85371CA8__playlist_src_us_stirr.m3u","False",".m3u","5740","2025-08-11 02:55:24"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\4F607F4DAC__rs.m3u","4F607F4DAC__rs.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\4F607F4DAC__rs.m3u","False",".m3u","3365","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\511D73B48A__playlist_src_us_pbs.m3u","511D73B48A__playlist_src_us_pbs.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\511D73B48A__playlist_src_us_pbs.m3u","False",".m3u","3992","2025-08-11 02:55:23"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\518C4570B1__ro.m3u","518C4570B1__ro.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\518C4570B1__ro.m3u","False",".m3u","15933","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\521C904AEB__de_pluto.m3u","521C904AEB__de_pluto.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\521C904AEB__de_pluto.m3u","False",".m3u","98598","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\52B2507633__az.m3u","52B2507633__az.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\52B2507633__az.m3u","False",".m3u","2364","2024-11-20 15:31:28"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\5313E214D2__playlist_free-tv_ca.m3u8","5313E214D2__playlist_free-tv_ca.m3u8","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\5313E214D2__playlist_free-tv_ca.m3u8","False",".m3u8","21519","2025-08-11 02:55:35"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\5332F50F58__sk.m3u","5332F50F58__sk.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\5332F50F58__sk.m3u","False",".m3u","4976","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\54B7E3AC2A__lv.m3u","54B7E3AC2A__lv.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\54B7E3AC2A__lv.m3u","False",".m3u","2180","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\550A47AE91__playlist_src_us_klowdtv.m3u","550A47AE91__playlist_src_us_klowdtv.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\550A47AE91__playlist_src_us_klowdtv.m3u","False",".m3u","7716","2025-08-11 02:55:23"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\5638FC2C9A__kr.m3u","5638FC2C9A__kr.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\5638FC2C9A__kr.m3u","False",".m3u","14037","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\56B7C049ED__br.m3u","56B7C049ED__br.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\56B7C049ED__br.m3u","False",".m3u","38563","2024-11-20 15:31:28"
