channel_id,display_name,DirecTV[US],Spectrum_NY[US],Bell_Fibe[CA]
472.stations.xmltv.tvmedia.ca,CTV Wild Canada,,,Y
4724.stations.xmltv.tvmedia.ca,CNN HD,,,Y
475.stations.xmltv.tvmedia.ca,National Geographic Canada,,,Y
478.stations.xmltv.tvmedia.ca,MTV 2 Canada,,,Y
4793.stations.xmltv.tvmedia.ca,"Circle (WWOR-TV2) New York, NY",,Y,
4794.stations.xmltv.tvmedia.ca,WPIX New York (SUPERSTATION) HD,,Y,Y
4833.stations.xmltv.tvmedia.ca,Super Channel Fuse,,,Y
4834.stations.xmltv.tvmedia.ca,Super Channel Heart & Home,,,Y
4835.stations.xmltv.tvmedia.ca,Super Channel Vault,,,Y
4836.stations.xmltv.tvmedia.ca,Super Channel Quest,,,Y
4838.stations.xmltv.tvmedia.ca,Super Channel Fuse HD,,,Y
4839.stations.xmltv.tvmedia.ca,Super Channel Heart & Home	 HD,,,Y
49.stations.xmltv.tvmedia.ca,"CBC (CBOT) Ottawa, ON",,,Y
50.stations.xmltv.tvmedia.ca,"CTV Montreal (CFCF), QC",,,Y
5005.stations.xmltv.tvmedia.ca,TLC USA - Eastern,,Y,
5138.stations.xmltv.tvmedia.ca,MeTV (WJLP) New Jersey/New York,,Y,
527.stations.xmltv.tvmedia.ca,BBC News - North America,,Y,Y
5271.stations.xmltv.tvmedia.ca,Military History,,Y,
5272.stations.xmltv.tvmedia.ca,Crime & Investigation Network USA,,Y,
537.stations.xmltv.tvmedia.ca,"CTV (CKCK) Regina, SK",,,Y
55.stations.xmltv.tvmedia.ca,STARZ1 - East,,,Y
5598.stations.xmltv.tvmedia.ca,Super Channel on Demand,,,Y
5629.stations.xmltv.tvmedia.ca,Family Channel on Demand,,,Y
5682.stations.xmltv.tvmedia.ca,"KTLA Los Angeles, CA HD",,,Y
58.stations.xmltv.tvmedia.ca,WSBK (TV-38) Boston,,,Y
583.stations.xmltv.tvmedia.ca,Starz - Eastern,Y,Y,
5870.stations.xmltv.tvmedia.ca,"CHCH Hamilton, ON HD",,,Y
59.stations.xmltv.tvmedia.ca,CTV Drama,,,Y
594.stations.xmltv.tvmedia.ca,ESPN,,Y,
595.stations.xmltv.tvmedia.ca,Disney - Eastern Feed,Y,Y,
596.stations.xmltv.tvmedia.ca,Syfy - Eastern Feed,,Y,
5997.stations.xmltv.tvmedia.ca,APTN HD,,,Y
60.stations.xmltv.tvmedia.ca,Slice,,,Y
6003.stations.xmltv.tvmedia.ca,NY1 New York,,Y,
607.stations.xmltv.tvmedia.ca,Adult Swim - East,,,Y
6080.stations.xmltv.tvmedia.ca,MTV Live,,Y,
6081.stations.xmltv.tvmedia.ca,MTV Live HD,Y,,
61.stations.xmltv.tvmedia.ca,TBS - East,,Y,
6107.stations.xmltv.tvmedia.ca,MGM HD (USA),,Y,
613.stations.xmltv.tvmedia.ca,OMNI.2,,,Y
614.stations.xmltv.tvmedia.ca,HBO - Eastern Feed,Y,Y,
615.stations.xmltv.tvmedia.ca,BBC America - East,,Y,
617.stations.xmltv.tvmedia.ca,E! Entertainment USA - Eastern Feed,,Y,
619.stations.xmltv.tvmedia.ca,EWTN Canada,,,Y
62.stations.xmltv.tvmedia.ca,Showcase Canada,,,Y
6202.stations.xmltv.tvmedia.ca,"Create (WLIW2) Long Island, NY",,Y,
6203.stations.xmltv.tvmedia.ca,"PBS World (WLIW3) Long Island, NY",,Y,
621.stations.xmltv.tvmedia.ca,History Channel US - Eastern Feed,Y,Y,
6216.stations.xmltv.tvmedia.ca,Crime & Investigation Network USA HD,Y,,
622.stations.xmltv.tvmedia.ca,Magnolia - East,,Y,
623.stations.xmltv.tvmedia.ca,HGTV USA - Eastern Feed,,Y,
6237.stations.xmltv.tvmedia.ca,Smithsonian Channel USA HD,Y,,
624.stations.xmltv.tvmedia.ca,VICE,,Y,
6257.stations.xmltv.tvmedia.ca,"CBC (CBUT) Vancouver, BC HD",,,Y
626.stations.xmltv.tvmedia.ca,HBO Hits - Eastern Feed,Y,Y,
628.stations.xmltv.tvmedia.ca,HBO Family - Eastern Feed,,Y,
629.stations.xmltv.tvmedia.ca,HBO Comedy - East,,Y,
63.stations.xmltv.tvmedia.ca,WPIX New York (SUPERSTATION),,Y,Y
630.stations.xmltv.tvmedia.ca,HBO Movies - East,,Y,
632.stations.xmltv.tvmedia.ca,Cinemax - Eastern Feed,Y,Y,
634.stations.xmltv.tvmedia.ca,Cinemax Hits Eastern,Y,Y,
636.stations.xmltv.tvmedia.ca,Cinemax Classics - Eastern,Y,Y,
64.stations.xmltv.tvmedia.ca,W (WTN) - East,,,Y
640.stations.xmltv.tvmedia.ca,USA Network - East Feed,,Y,
6421.stations.xmltv.tvmedia.ca,CBC News Network HD,,,Y
