"file_name","extension","size_bytes","sha256","full_path"
"3DD56BB48E__sa.m3u",".m3u","5526","3DD56BB48E416E405B78C4B1CDD5BA10BB1FD9864C3D354C920BDC9F4460566C","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\3DD56BB48E__sa.m3u"
"3E1DFF8FBC__iq.m3u",".m3u","8910","3E1DFF8FBC2DD764D5271AC94ADC516965743AC27A74BE6C5FF90B569579F094","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\3E1DFF8FBC__iq.m3u"
"41B228B32C__ru.m3u",".m3u","14783","41B228B32C8BC5F2D9EA84649202B3506D3295598B153B670C6C05C670AEBC36","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\41B228B32C__ru.m3u"
"4723A8E702__ch_pluto.m3u",".m3u","97511","4723A8E7027B73C4F75F462CC86CE3B23C682A086C7E947D36B79ACCBC02A6DC","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\4723A8E702__ch_pluto.m3u"
"476A33DC2E__fr_rakuten.m3u",".m3u","9140","476A33DC2E8F7FBA95CBC954AD827DB7831AF493456135C7926CC12C951C6440","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\476A33DC2E__fr_rakuten.m3u"
"4A2BDBEE05__af.m3u",".m3u","2679","4A2BDBEE05888E7FE42C48F14116A549B6AEAC905B960081ADC67504213BD9D7","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\4A2BDBEE05__af.m3u"
"4A92A20EFF__uk.m3u",".m3u","12593","4A92A20EFFF3744D976F505FF95428B53758C0253475AF03EA1820EA0D9BDE37","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\4A92A20EFF__uk.m3u"
"4D85371CA8__playlist_src_us_stirr.m3u",".m3u","5740","4D85371CA845A3092C95E901ACB15CDF83028D69BF64D9FDEA254BA606A6B7BE","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\4D85371CA8__playlist_src_us_stirr.m3u"
"4F607F4DAC__rs.m3u",".m3u","3365","4F607F4DAC8944F3BD7823BEEED5C2F124E13A291F8BBE4C6E0A156ADAF72AC0","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\4F607F4DAC__rs.m3u"
"511D73B48A__playlist_src_us_pbs.m3u",".m3u","3992","511D73B48AD0C1FA71DA529EA62FBEF6A0FC93D1AED6CA55EA64FA6BFB437D8F","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\511D73B48A__playlist_src_us_pbs.m3u"
