"source_label","source_mode","source_rank","category","extension","size_bytes","last_write_time","file_name","full_path"
"canonical_free_epg","active_input","2","active_epg",".gz","104630","2025-08-21 00:56:20","6039B62C15__filtered_epg_08-21-2025_00-56-20.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\6039B62C15__filtered_epg_08-21-2025_00-56-20.xml.gz"
"canonical_free_epg","active_input","2","active_epg",".xml","101079","2025-11-22 11:55:20","63DC729562__tv.blue.ch.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\63DC729562__tv.blue.ch.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".gz","187214","2025-08-11 02:56:01","64C86391E2__epg_openepg_us6.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\64C86391E2__epg_openepg_us6.xml.gz"
"canonical_free_epg","active_input","2","active_epg",".xml","194733","2024-11-04 14:47:10","6A84124C6C__ontvtonight.com_ca.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\6A84124C6C__ontvtonight.com_ca.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","115153","2025-08-11 02:55:39","6B19EC6536__epg_iptvorg_directv_channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\6B19EC6536__epg_iptvorg_directv_channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","140880","2024-11-04 14:47:10","6CFBE66C11__i.mjh.nz_au.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\6CFBE66C11__i.mjh.nz_au.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","141023","2025-09-26 10:40:03","6E4C9B70A8__i.mjh.nz_au.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\6E4C9B70A8__i.mjh.nz_au.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","179196","2025-09-26 10:40:03","740AB2E12A__i.mjh.nz_samsung.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\740AB2E12A__i.mjh.nz_samsung.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","118383","2025-09-26 10:40:03","75C7071A09__chaines-tv.orange.fr.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\75C7071A09__chaines-tv.orange.fr.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","1780826","2025-11-22 11:55:20","7963BB311D__sat.tv_ar.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\7963BB311D__sat.tv_ar.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".gz","3766405","2025-08-11 02:55:37","7A2B0EB767__epg_epgshare_plex1.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\7A2B0EB767__epg_epgshare_plex1.xml.gz"
"canonical_free_epg","active_input","2","active_epg",".gz","4158161","2025-08-11 02:55:36","7B584188BD__epg_epgshare_au1.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\7B584188BD__epg_epgshare_au1.xml.gz"
"canonical_free_epg","active_input","2","active_epg",".xml","174298","2025-08-11 02:55:41","7BD8022151__epg_iptvorg_ontv_au_channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\7BD8022151__epg_iptvorg_ontv_au_channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","174298","2025-09-26 10:40:03","7BD8022151__ontvtonight.com_au.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\7BD8022151__ontvtonight.com_au.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","260762","2025-09-26 10:40:03","7C578F7ED0__tvtv.us.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\7C578F7ED0__tvtv.us.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","105668","2025-11-22 11:55:20","85D4563F67__m.tv.sms.cz.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\85D4563F67__m.tv.sms.cz.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".gz","325270","2025-08-11 02:55:46","88182B9474__epg_openepg_au3.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\88182B9474__epg_openepg_au3.xml.gz"
"canonical_free_epg","active_input","2","active_epg",".gz","906309","2025-08-11 02:55:44","8A54E03C82__epg_epgpw_au.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\8A54E03C82__epg_epgpw_au.xml.gz"
"canonical_free_epg","active_input","2","active_epg",".xml","366472","2025-11-22 11:55:20","94B86B0453__epg.iptvx.one.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\94B86B0453__epg.iptvx.one.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","2654461","2025-11-22 11:55:20","99E11B6678__tvpassport.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\99E11B6678__tvpassport.com.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","339813","2025-08-11 02:55:41","9D3BBFE1AC__epg_iptvorg_streamingtv_channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\9D3BBFE1AC__epg_iptvorg_streamingtv_channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","339813","2024-11-04 14:47:10","9D3BBFE1AC__streamingtvguides.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\9D3BBFE1AC__streamingtvguides.com.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".gz","188624","2025-08-11 02:56:02","A09366B22A__epg_openepg_us8.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\A09366B22A__epg_openepg_us8.xml.gz"
"canonical_free_epg","active_input","2","active_epg",".xml","1458104","2025-11-22 17:48:48","A724C44F02__consolidated_channels_only.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\A724C44F02__consolidated_channels_only.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","140855","2025-11-22 11:55:20","A9705297DA__i.mjh.nz_au.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\A9705297DA__i.mjh.nz_au.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".gz","606146","2025-08-11 02:55:55","AAF6955029__epg_openepg_uk1.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\AAF6955029__epg_openepg_uk1.xml.gz"
"canonical_free_epg","active_input","2","active_epg",".xml","38731400","2025-11-30 15:17:37","AD62A8200E__open-epg-us.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\AD62A8200E__open-epg-us.xml"
"canonical_free_epg","active_input","2","active_epg",".gz","472733","2025-08-11 02:55:37","B1D45F434C__epg_epgshare_nz1.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\B1D45F434C__epg_epgshare_nz1.xml.gz"
"canonical_free_epg","active_input","2","active_epg",".xml","258632","2024-11-04 14:47:10","B713A67429__ontvtonight.com_us.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\B713A67429__ontvtonight.com_us.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".gz","2653798","2025-08-11 02:55:44","B82DCCECAF__epg_epgpw_gb.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\B82DCCECAF__epg_epgpw_gb.xml.gz"
"canonical_free_epg","active_input","2","active_epg",".xml","643871","2025-08-11 02:55:43","BAA2D60817__epg_iptvorg_epgshare_us_locals2_channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\BAA2D60817__epg_iptvorg_epgshare_us_locals2_channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","643871","2025-09-26 10:40:03","BAA2D60817__epgshare01.online_US_LOCALS2.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\BAA2D60817__epgshare01.online_US_LOCALS2.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","37323357","2025-11-30 12:00:24","BAE85F5C5B__open-epg-us.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\BAE85F5C5B__open-epg-us.xml"
"canonical_free_epg","active_input","2","active_epg",".gz","325282","2025-08-11 02:55:56","C37D770459__epg_openepg_uk2.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\C37D770459__epg_openepg_uk2.xml.gz"
"canonical_free_epg","active_input","2","active_epg",".xml","1780439","2024-11-04 14:47:10","C5855759F9__sat.tv_ar.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\C5855759F9__sat.tv_ar.channels.xml"
