tag,site,name,xmltv_id,lang,site_id,source_file
virgintvgo.virginmedia.com,virgintvgo.virginmedia.com,Sky Favourites,SkyCinemaGreats.uk@SD,en,1518,virgintvgo.virginmedia.com.channels.xml
epgshare01.online,epgshare01.online,Sky Greats,,en,UK1#Sky.Greats.uk,epgshare01.online_UK1.channels.xml
epgshare01.online,epgshare01.online,Sky Greats HD,,en,UK1#Sky.Greats.HD.uk,epgshare01.online_UK1.channels.xml
player.ee.co.uk,player.ee.co.uk,Sky History,SkyHistory.uk@SD,en,http://bds.tv/services/BT_772170_1875_SD,player.ee.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky History,,en,sky-history,tv24.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky History +1,,en,sky-history-1,tv24.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky History +1,,en,sky-history-1-1,tv24.co.uk.channels.xml
virgintvgo.virginmedia.com,virgintvgo.virginmedia.com,Sky HISTORY +1,SkyHistory.uk@Plus1,en,1720,virgintvgo.virginmedia.com.channels.xml
tv24.co.uk,tv24.co.uk,Sky History 2,,en,sky-history-2,tv24.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky History 2 HD,,en,sky-history-2-hd,tv24.co.uk.channels.xml
virgintvgo.virginmedia.com,virgintvgo.virginmedia.com,Sky HISTORY 2 HD,SkyHistory2.uk@HD,en,1853,virgintvgo.virginmedia.com.channels.xml
player.ee.co.uk,player.ee.co.uk,Sky History HD,SkyHistory.uk@HD,en,http://bds.tv/services/BT_772173_1875_HD,player.ee.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky History HD,,en,sky-history-hd,tv24.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky History HD,,en,sky-history-hd-1,tv24.co.uk.channels.xml
virgintvgo.virginmedia.com,virgintvgo.virginmedia.com,Sky HISTORY HD,SkyHistory.uk@HD,en,1974,virgintvgo.virginmedia.com.channels.xml
epgshare01.online,epgshare01.online,Sky History+1,,en,UK1#Sky.History+1.uk,epgshare01.online_UK1.channels.xml
epgshare01.online,epgshare01.online,Sky History2,,en,UK1#Sky.History2.uk,epgshare01.online_UK1.channels.xml
epgshare01.online,epgshare01.online,Sky HistoryHD,,en,UK1#Sky.HistoryHD.uk,epgshare01.online_UK1.channels.xml
tv24.co.uk,tv24.co.uk,Sky Intro,,en,sky-intro,tv24.co.uk.channels.xml
player.ee.co.uk,player.ee.co.uk,Sky Kids,SkyKids.uk@SD,en,http://bds.tv/services/BT_RBM61990_1147_SD,player.ee.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Kids,,en,sky-kids,tv24.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Kids,,en,sky-kids-1,tv24.co.uk.channels.xml
virgintvgo.virginmedia.com,virgintvgo.virginmedia.com,Sky Kids Books,SkyCinemaFamily.uk@HD,en,1514,virgintvgo.virginmedia.com.channels.xml
epgshare01.online,epgshare01.online,Sky Kids HD,,en,UK1#Sky.Kids.HD.uk,epgshare01.online_UK1.channels.xml
player.ee.co.uk,player.ee.co.uk,Sky Kids HD,SkyKids.uk@HD,en,http://bds.tv/services/BT_RBM61991_1147_HD,player.ee.co.uk.channels.xml
virgintvgo.virginmedia.com,virgintvgo.virginmedia.com,Sky Kids HD,SkyKids.uk@HD,en,2264,virgintvgo.virginmedia.com.channels.xml
streamingtvguides.com,streamingtvguides.com,Sky Link TV,,en,SKYLINK,streamingtvguides.com.channels.xml
epgshare01.online,epgshare01.online,"Sky Link TV (KCNS2) San Francisco, CA",,en,"US_LOCALS2#Sky.Link.TV..(KCNS2).San.Francisco,.CA.us",epgshare01.online_US_LOCALS2.channels.xml
epgshare01.online,epgshare01.online,"Sky Link TV (KXLA-DT3) Los Angeles, CA",,en,"US_LOCALS2#Sky.Link.TV.(KXLA-DT3).Los.Angeles,.CA.us",epgshare01.online_US_LOCALS2.channels.xml
