data_key,scope_order,selected_channel_name,tvg_id,network,feed,location,group_title,match_status,matched_channel_count,matched_channel_names,matched_tvg_ids
tvg_id::146,78,Univision (East),146,Univision,East,,Entertainment,matched,1,Univision (East),146
tvg_id::147,79,Univision (West),147,Univision,West,,Entertainment,matched,1,Univision (West),147
tvg_id::6070,80,USA Cinemax Action UHD,6070,Cinemax,,"Ultra, HD",Ultra HD,matched,1,USA Cinemax Action UHD,6070
tvg_id::6069,81,USA Cinemax Classics UHD,6069,Cinemax,,"Ultra, HD",Ultra HD,matched,1,USA Cinemax Classics UHD,6069
tvg_id::6071,82,USA Cinemax East UHD,6071,Cinemax,East,"Ultra, HD",Ultra HD,matched,1,USA Cinemax East UHD,6071
tvg_id::6073,83,USA Cinemax Hits UHD,6073,Cinemax,,"Ultra, HD",Ultra HD,matched,1,USA Cinemax Hits UHD,6073
tvg_id::6076,84,USA Cinemax West UHD,6076,Cinemax,West,"Ultra, HD",Ultra HD,matched,1,USA Cinemax West UHD,6076
tvg_id::6078,85,USA CMT UHD,6078,CMT,,"Ultra, HD",Ultra HD,matched,1,USA CMT UHD,6078
tvg_id::6080,86,USA CNN UHD,6080,CNN,,"Ultra, HD",Ultra HD,matched,1,USA CNN UHD,6080
tvg_id::6081,87,USA Comedy Central UHD,6081,Comedy Central,,"Ultra, HD",Ultra HD,matched,1,USA Comedy Central UHD,6081
tvg_id::6082,88,USA Comedy Central West UHD,6082,Comedy Central,West,"Ultra, HD",Ultra HD,matched,1,USA Comedy Central West UHD,6082
tvg_id::6084,89,USA Cooking Channel UHD,6084,Cooking,,"Ultra, HD",Ultra HD,matched,1,USA Cooking Channel UHD,6084
tvg_id::6087,90,USA Discovery UHD,6087,Discovery,,"Ultra, HD",Ultra HD,matched,1,USA Discovery UHD,6087
tvg_id::6088,91,USA Disney channel UHD,6088,Disney,,"Ultra, HD",Ultra HD,matched,1,USA Disney channel UHD,6088
tvg_id::6091,92,USA E! UHD,6091,USA,,"Ultra, HD",Ultra HD,matched,1,USA E! UHD,6091
tvg_id::6098,93,USA Food Network UHD,6098,Food Network,,"Ultra, HD",Ultra HD,matched,1,USA Food Network UHD,6098
tvg_id::6104,94,USA Fuse UHD,6104,Fuse,,"Ultra, HD",Ultra HD,matched,1,USA Fuse UHD,6104
tvg_id::6106,95,USA FX UHD,6106,USA,,"Ultra, HD",Ultra HD,matched,1,USA FX UHD,6106
tvg_id::6105,96,USA FXM UHD,6105,USA,,"Ultra, HD",Ultra HD,matched,1,USA FXM UHD,6105
tvg_id::6107,97,USA FXX UHD,6107,FXX,,"Ultra, HD",Ultra HD,matched,1,USA FXX UHD,6107
tvg_id::6108,98,USA FYI UHD,6108,FYI,,"Ultra, HD",Ultra HD,matched,1,USA FYI UHD,6108
tvg_id::6116,99,USA HBO Comedy UHD,6116,HBO,,"Ultra, HD",Ultra HD,matched,1,USA HBO Comedy UHD,6116
tvg_id::6120,100,USA HBO Drama East UHD,6120,HBO,East,"Ultra, HD",Ultra HD,matched,1,USA HBO Drama East UHD,6120
tvg_id::6117,101,USA HBO East UHD,6117,HBO,East,"Ultra, HD",Ultra HD,matched,1,USA HBO East UHD,6117
tvg_id::6114,102,USA HBO Hits UHD,6114,HBO,,"Ultra, HD",Ultra HD,matched,1,USA HBO Hits UHD,6114
