"publish_type","file_name","relative_path","tivimate_stage_path","runtime_stage_path","size_bytes","sha256"
"m3u","cu.m3u","review_from_iptv__C42511BE\cu.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\review_from_iptv__C42511BE\cu.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\review_from_iptv__C42511BE\cu.m3u","491","58585026012177228CB3C4EE533CCA8194723041A375BFC8271FCB5116BE315E"
"m3u","cv.m3u","review_from_iptv__C42511BE\cv.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\review_from_iptv__C42511BE\cv.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\review_from_iptv__C42511BE\cv.m3u","492","FD19E92FAD0CBDD3693057DDB3DDAB7E97BBFF2D6F3FCB1B630BE901A0276D2A"
"m3u","cw.m3u","review_from_iptv__C42511BE\cw.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\review_from_iptv__C42511BE\cw.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\review_from_iptv__C42511BE\cw.m3u","692","7692B7766DB77DFC639DCB4F77606F8AB863B52E29A1A57C6370828C15F15226"
"m3u","cy.m3u","review_from_iptv__C42511BE\cy.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\review_from_iptv__C42511BE\cy.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\review_from_iptv__C42511BE\cy.m3u","3401","AEF443C79290E57CEE72A1D572A5401F970C3E36FF5A898D4ED74B3455F09A18"
"m3u","cz.m3u","review_from_iptv__C42511BE\cz.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\review_from_iptv__C42511BE\cz.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\review_from_iptv__C42511BE\cz.m3u","4045","9F381F06C6E5246D50DDB59170103ECD77C379B572F1346D0D03FCC8AF4CE9B3"
"m3u","D04B22805E__playlist_src_us_pluto.m3u","D04B22805E__playlist_src_us_pluto.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\D04B22805E__playlist_src_us_pluto.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\D04B22805E__playlist_src_us_pluto.m3u","151024","D04B22805E4C9688FD1E3AE2F7B6E3D39ACF8B310464269FB86E8AB77678FC5A"
"m3u","D2A48A8C08__ru_smotrim.m3u","D2A48A8C08__ru_smotrim.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\D2A48A8C08__ru_smotrim.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\D2A48A8C08__ru_smotrim.m3u","3796","D2A48A8C0834D4FD4D4570422B1D49CFBC26627C5865B61B68CC2D6D896851DD"
"m3u","D36C81A7EF__playlist_src_ca_stingray.m3u","D36C81A7EF__playlist_src_ca_stingray.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\D36C81A7EF__playlist_src_ca_stingray.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\D36C81A7EF__playlist_src_ca_stingray.m3u","4497","D36C81A7EF00946154AF900B5B82C4981D1C77D90749B24F87F24AA82B3DB07A"
"m3u","D412B55757__jp.m3u","D412B55757__jp.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\D412B55757__jp.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\D412B55757__jp.m3u","2991","D412B55757CBB8CEF1B2FE79BBE0C81C9DDACE80CAFED168B5841FEA0CE074F9"
"m3u","D5BCC30FE3__pr.m3u","D5BCC30FE3__pr.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\D5BCC30FE3__pr.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\D5BCC30FE3__pr.m3u","5648","D5BCC30FE3CB3F92F5825769B03D56256EC86BF5A6D68D1ABC4D8562F38D145F"
